feature1,feature2,label
0,100,1
1,101,0
2,102,1
3,103,0
4,104,1
5,105,0
6,106,1
7,107,0
8,108,1
9,109,0
10,110,1
11,111,0
12,112,1
13,113,0
14,114,1
15,115,0
16,116,1
17,117,0
18,118,1
19,119,0
20,120,1
21,121,0
22,122,1
23,123,0
24,124,1
25,125,0
26,126,1
27,127,0
28,128,1
29,129,0
30,130,1
31,131,0
32,132,1
33,133,0
34,134,1
35,135,0
36,136,1
37,137,0
38,138,1
39,139,0
40,140,1
41,141,0
42,142,1
43,143,0
44,144,1
45,145,0
46,146,1
47,147,0
48,148,1
49,149,0
50,150,1
51,151,0
52,152,1
53,153,0
54,154,1
55,155,0
56,156,1
57,157,0
58,158,1
59,159,0
60,160,1
61,161,0
62,162,1
63,163,0
64,164,1
65,165,0
66,166,1
67,167,0
68,168,1
69,169,0
70,170,1
71,171,0
72,172,1
73,173,0
74,174,1
75,175,0
76,176,1
77,177,0
78,178,1
79,179,0
80,180,1
81,181,0
82,182,1
83,183,0
84,184,1
85,185,0
86,186,1
87,187,0
88,188,1
89,189,0
90,190,1
91,191,0
92,192,1
93,193,0
94,194,1
95,195,0
96,196,1
97,197,0
98,198,1
99,199,0
